# zipcode,population,num_incidents
1.121300000000000000e+04,6.376700000000000000e+04,7.105500000000000000e+04
1.121000000000000000e+04,6.200800000000000000e+04,5.085400000000000000e+04
1.121100000000000000e+04,9.011700000000000000e+04,5.900700000000000000e+04
1.121600000000000000e+04,5.431600000000000000e+04,6.669600000000000000e+04
1.121700000000000000e+04,3.588100000000000000e+04,3.209300000000000000e+04
1.121400000000000000e+04,8.863000000000000000e+04,4.979700000000000000e+04
1.121800000000000000e+04,7.522000000000000000e+04,4.970800000000000000e+04
1.121900000000000000e+04,9.222100000000000000e+04,4.477600000000000000e+04
1.150700000000000000e+04,7.406000000000000000e+03,6.000000000000000000e+00
1.150100000000000000e+04,1.914800000000000000e+04,1.700000000000000000e+01
1.092300000000000000e+04,8.732000000000000000e+03,1.000000000000000000e+00
1.092000000000000000e+04,8.554000000000000000e+03,1.000000000000000000e+00
1.092600000000000000e+04,3.203000000000000000e+03,1.000000000000000000e+00
1.143200000000000000e+04,6.080900000000000000e+04,3.813200000000000000e+04
1.143300000000000000e+04,3.268700000000000000e+04,2.911300000000000000e+04
1.143000000000000000e+04,1.840000000000000000e+02,2.297000000000000000e+03
1.143600000000000000e+04,1.794900000000000000e+04,1.389800000000000000e+04
1.143500000000000000e+04,5.368700000000000000e+04,3.407800000000000000e+04
1.172600000000000000e+04,1.985700000000000000e+04,5.000000000000000000e+00
1.172700000000000000e+04,2.903000000000000000e+04,2.000000000000000000e+00
1.172400000000000000e+04,3.220000000000000000e+03,2.000000000000000000e+00
1.172500000000000000e+04,2.915000000000000000e+04,2.500000000000000000e+01
1.172200000000000000e+04,3.517700000000000000e+04,1.000000000000000000e+00
1.172900000000000000e+04,2.803200000000000000e+04,9.000000000000000000e+00
1.045300000000000000e+04,7.830900000000000000e+04,7.958800000000000000e+04
1.045100000000000000e+04,4.571300000000000000e+04,3.346900000000000000e+04
1.045700000000000000e+04,7.049600000000000000e+04,7.698500000000000000e+04
1.045600000000000000e+04,8.654700000000000000e+04,6.862100000000000000e+04
1.045500000000000000e+04,3.966500000000000000e+04,2.968000000000000000e+04
1.045900000000000000e+04,4.730800000000000000e+04,4.334100000000000000e+04
1.045800000000000000e+04,7.949200000000000000e+04,8.835600000000000000e+04
1.060100000000000000e+04,1.137600000000000000e+04,6.000000000000000000e+00
1.003500000000000000e+04,3.396900000000000000e+04,2.548400000000000000e+04
1.122800000000000000e+04,4.178800000000000000e+04,1.987300000000000000e+04
1.122600000000000000e+04,1.015720000000000000e+05,1.191500000000000000e+05
1.122500000000000000e+04,5.682900000000000000e+04,6.768400000000000000e+04
1.122400000000000000e+04,4.762100000000000000e+04,1.971500000000000000e+04
1.122300000000000000e+04,7.873100000000000000e+04,4.173800000000000000e+04
1.122000000000000000e+04,9.959800000000000000e+04,5.279800000000000000e+04
1.153000000000000000e+04,2.727300000000000000e+04,4.100000000000000000e+01
1.171300000000000000e+04,1.040100000000000000e+04,1.000000000000000000e+00
1.171000000000000000e+04,3.449600000000000000e+04,3.100000000000000000e+01
1.171700000000000000e+04,6.074500000000000000e+04,3.000000000000000000e+00
1.171900000000000000e+04,3.589000000000000000e+03,3.000000000000000000e+00
1.006900000000000000e+04,5.199000000000000000e+03,9.530000000000000000e+02
1.028200000000000000e+04,4.783000000000000000e+03,7.020000000000000000e+02
1.028000000000000000e+04,7.853000000000000000e+03,1.443000000000000000e+03
1.059400000000000000e+04,5.117000000000000000e+03,1.000000000000000000e+01
1.059500000000000000e+04,8.195000000000000000e+03,1.000000000000000000e+00
1.461800000000000000e+04,2.292000000000000000e+04,2.000000000000000000e+00
