name,zip code tabulation area,zt36 d00,perimeter,lsad trans,zt36 d00 i,lsad,area,latitude,longitude,Total Population per ZIP Code
14605,14605,618,0.119021594,5-Digit ZCTA,617,Z5,0.000502404,43.166963,-77.6034235,12610
130HH,130HH,654,0.052383203,5-Digit ZCTA,653,Z5,0.00013355,43.1399225,-76.5332775,
13320,13320,926,0.940345024,5-Digit ZCTA,925,Z5,0.024573458,42.7703915,-74.75216,2018
11580,11580,2126,0.165701712,5-Digit ZCTA,2125,Z5,0.001064536,40.6769025,-73.703674,40113
10987,10987,1768,0.607800162,5-Digit ZCTA,1767,Z5,0.012321979,41.208411,-74.21505161,3395
14903,14903,1439,0.464017204,5-Digit ZCTA,1438,Z5,0.00600486,42.120674,-76.8665305,7567
122HH,122HH,1055,0.053314063,5-Digit ZCTA,1054,Z5,2.35E-05,42.695328,-73.712813,
12801,12801,496,0.154671415,5-Digit ZCTA,495,Z5,0.001152774,43.3101215,-73.6427105,14707
110HH,110HH,1955,0.049582104,5-Digit ZCTA,1954,Z5,8.59E-05,40.817,-73.653173,
12586,12586,1669,0.363328167,5-Digit ZCTA,1668,Z5,0.002676403,41.5661105,-74.2260995,12540
140HH,140HH,580,0.604715148,5-Digit ZCTA,579,Z5,0.000131842,43.149673,-78.6229535,
13080,13080,670,0.019327259,5-Digit ZCTA,669,Z5,2.21E-05,43.134779,-76.524195,3631
12062,12062,1146,0.795808854,5-Digit ZCTA,1145,Z5,0.008354291,42.524953,-73.482564,1776
10965,10965,1824,0.191012029,5-Digit ZCTA,1823,Z5,0.001440893,41.0604388,-74.01659848,14791
11740,11740,1900,0.187503346,5-Digit ZCTA,1899,Z5,0.001045654,40.868154,-73.3636625,9454
10996,10996,1726,0.135744532,5-Digit ZCTA,1725,Z5,0.000913499,41.3932965,-73.9733035,6756
10968,10968,1834,0.096963483,5-Digit ZCTA,1833,Z5,0.000164729,41.0403965,-73.9130305,2353
10165,10165,2063,0.005240366,5-Digit ZCTA,2062,Z5,1.42E-06,40.7523515,-73.978925,
12815,12815,340,0.686398937,5-Digit ZCTA,339,Z5,0.013164083,43.7063945,-73.6855075,871
12543,12543,1694,0.161828734,5-Digit ZCTA,1693,Z5,0.000531385,41.4845475,-74.223088,3001
12093,12093,1162,0.979687217,5-Digit ZCTA,1161,Z5,0.016845518,42.500105,-74.6271235,1666
12492,12492,1382,0.475202387,5-Digit ZCTA,1381,Z5,0.004997597,42.21509,-74.3493015,271
12580,12580,1573,0.425430382,5-Digit ZCTA,1572,Z5,0.005726589,41.8475965,-73.8760505,4402
11566,11566,2188,0.030189641,5-Digit ZCTA,2187,Z5,4.74E-05,40.627152,-73.5542715,
14081,14081,1154,0.494307641,5-Digit ZCTA,1153,Z5,0.00285969,42.535487,-79.07313697,3095
14526,14526,608,0.397987272,5-Digit ZCTA,607,Z5,0.005095162,43.1472635,-77.4425665,19804
13775,13775,1279,0.819932349,5-Digit ZCTA,1278,Z5,0.01348784,42.3275275,-75.1649655,1631
14769,14769,1262,0.308275707,5-Digit ZCTA,1261,Z5,0.002598964,42.37148869,-79.4779995,919
136HH,136HH,100,0.091854442,5-Digit ZCTA,99,Z5,8.62E-05,44.602624,-74.969371,
121HH,121HH,485,0.435161656,5-Digit ZCTA,484,Z5,0.000215367,43.314522,-74.2834605,
12150,12150,907,0.140691989,5-Digit ZCTA,906,Z5,0.000341264,42.874728,-74.049561,914
13783,13783,1579,0.025237296,5-Digit ZCTA,1578,Z5,2.59E-05,41.863338,-75.235133,2670
