(11977, 1667384.220881436)
(11978, 117934782.60869566)
(11980, 1530882.4079829229)
(12008, 2136467.392005227)
(12009, 489444.5917499892)
(12010, 11116497.917073239)
(12015, 35579196.21749409)
(12017, 92354.39374435921)
(12018, 567009.8375134281)
(12019, 5427652.231100152)
(12020, 1407616.2272807413)
(12022, 136067.51409338685)
(12023, 133740.8246546947)
(12025, 443053.2866344706)
(12027, 1501339.4872009067)
(12028, 222586.61601111872)
(12029, 184299.4427135899)
(12031, 276713.9663073075)
(12032, 61129.373958433345)
(12033, 871878.8906804242)
(12035, 207563.16701018973)
(12036, 89398.58279720323)
(12037, 376094.4089702123)
(12041, 14401197.60479042)
(12042, 562406.3520788283)
(12043, 460299.5306286359)
(12045, 2826855.1236749114)
(12046, 179400.00469909437)
(12047, 128612820.73083791)
